p0,p1,p2,p3,p4,p5,objective,elapsed_sec,scale
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,80,100,256,0.9241995,1516.885405778885,1000
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,20,20,20,0.525914,1526.62091255188,1000
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,32,20,0.495697,1535.2130432128906,1000
 , , ,128,32,128,0.601022,1543.1723983287811,1000
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,4,4,0.911415,1553.342092514038,1000
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,8,20,0.503698,1563.027651309967,1000
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,32,20,0.498154,1571.3859882354736,1000
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,50,20,80,0.8993605,1582.0207059383392,1000
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,16,4,0.8559285000000001,1593.6638629436493,1000
 , , ,4,64,4,0.7262095,1602.6789288520813,1000
 , , ,64,20,4,0.6796255,1611.1793384552002,1000
 , , ,50,100,256,0.6392435000000001,1619.4743592739103,1000
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,2048,20,0.549517,1628.6461853981018,1000
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,50,128,32,0.8903375,1638.875192403793,1000
 , , ,128,32,50,0.566025,1647.336091518402,1000
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,8,128,64,0.6290775,1656.7432117462158,1000
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,20,128,0.504697,1666.4036202430725,1000
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,80,100,0.6110895000000001,1676.1690833568573,1000
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,100,16,0.3288565,1686.8004739284515,1000
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,128,8,0.6834560000000001,1696.4343495368958,1000
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,128,64,100,0.492742,1705.1951715946198,1000
 , , ,8,50,8,0.509356,1713.1363198757172,1000
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,4,20,0.537343,1721.976541519165,1000
 , , ,16,128,20,0.685195,1730.6928038597107,1000
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,2048,32,0.519193,1740.090936422348,1000
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,32,16,0.543762,1748.6814532279968,1000
 , , ,8,16,100,0.6081030000000001,1756.712325334549,1000
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,4,50,100,0.6181905000000001,1766.2114295959473,1000
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,4,100,0.5314559999999999,1775.7937512397766,1000
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,50,32,32,0.4719744999999999,1785.4715662002563,1000
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,100,80,0.476257,1793.7196049690249,1000
